,name,link,min_salary,max_salary,currency,employer,site_name
49,Data Analyst,https://hh.ru/vacancy/50630340?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85,,,,буше,hh.ru
50,"Аналитик (SQL, Phython)",https://hh.ru/vacancy/50872496?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85,,,,ООО Система Геткурс,hh.ru
51,Аналитик,https://hh.ru/vacancy/51206766?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85,,,руб.,Точка,hh.ru
52,Аналитик (экономический отдел),https://hh.ru/vacancy/51771473?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85,91000,91000,руб.,ООО Международный аэропорт Симферополь,hh.ru
53,Аналитик (экономический отдел),https://hh.ru/vacancy/51771472?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85,91000,91000,руб.,ООО Международный аэропорт Симферополь,hh.ru
54,Аналитик данных,https://hh.ru/vacancy/50568773?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85,90000,90000,руб.,Imperial Tobacco,hh.ru
55,Бизнес-аналитик (аналитика бизнес-процессов),https://hh.ru/vacancy/50642850?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85,120000,120000,руб.,ООО Тулстрек,hh.ru
56,Middle/Junior Data Analyst/Аналитик данных Big Data (Tableau),https://hh.ru/vacancy/51698025?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85,120000,120000,руб.,QIWI,hh.ru
57,Аналитик данных / Аналитик Excel,https://hh.ru/vacancy/51831244?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85,40000,40000,руб.,MIP,hh.ru
58,CRM администратор / аналитик,https://hh.ru/vacancy/50991212?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85,140000,140000,руб.,ООО ГЕДЕОН РИХТЕР ФАРМА,hh.ru
59,Аналитик на маркетплейсы,https://hh.ru/vacancy/51411836?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85,100000,100000,руб.,ООО ДЖАМБО ТОЙЗ,hh.ru
60,Ведущий аналитик,https://hh.ru/vacancy/50271561?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85,137931,137931,руб.,Самокат (ООО Умный ритейл),hh.ru
